modelName,logLossImprovedFolds,brierImprovedFolds,worstFoldLogLossDelta,aggregateEceDelta,aggregateTop1Delta,segmentCoverage,expectedSegmentCoverage,segmentPassed,activationPassed,iterations,dateBlockCount,seed,logLossDelta,logLossCi95Lower,logLossCi95Upper,brierDelta,brierCi95Lower,brierCi95Upper,top1Delta,top1Ci95Lower,top1Ci95Upper,passed
gated_g05,5,5,-1.4506624735455276e-05,1.609736754861618e-05,0.0,41,41,True,False,1000,300,42,-2.8443504567789102e-05,-3.4711478263929355e-05,-2.2040280948177634e-05,-1.703907185843219e-05,-2.028923831222744e-05,-1.3787006530834725e-05,0.0,0.0,0.0,False
gated_g10,5,5,-2.8619874663515787e-05,3.162348709838392e-05,0.0,41,41,True,False,1000,300,42,-5.652490343808428e-05,-6.90657930926885e-05,-4.370721495109583e-05,-3.39026697043681e-05,-4.0401339999864825e-05,-2.7401329864722262e-05,0.0,0.0,0.0,False
gated_g20,5,5,-5.566711464588536e-05,0.0004554691231070662,2.6308866087898508e-05,41,41,True,False,1000,300,42,-0.00011160210388120784,-0.00013670361396037734,-8.592178519140886e-05,-6.710378813831119e-05,-8.009436589333335e-05,-5.411228627390871e-05,2.356321839080464e-05,0.0,6.896551724137945e-05,False
static_a02,5,5,-0.0001609094950003609,0.0004315756139569339,0.00010523546435148301,41,41,True,True,1000,300,42,-0.00023376886156506989,-0.0002748943495555721,-0.00019231358048232912,-0.00013448614235362882,-0.00015583797689434502,-0.00011284453621407675,9.718701925709718e-05,-7.607086948389644e-05,0.00028309717493191444,False
static_a05,5,5,-0.00037191210375753236,0.0010440493785321033,7.892659826369552e-05,41,41,False,True,1000,300,42,-0.0005539085140870868,-0.000656817848738221,-0.0004501495884474438,-0.0003212661691881279,-0.00037469762955448705,-0.00026709449923598697,4.913580198265378e-05,-0.0002137987615270912,0.000320888959855177,False
static_a10,5,5,-0.0006425019291316225,0.0018972571333757751,0.00028939752696666154,41,41,False,True,1000,300,42,-0.0010060269741989547,-0.0012119274500206416,-0.0007982491623976219,-0.000592575001601767,-0.0006998015623076922,-0.0004840145482034354,0.00028888747060010266,-6.515372754228044e-05,0.0006752161754157398,False
