fold,modelName,raceCount,raceLogLoss,multiclassBrier,top1Accuracy,ece10,activationRate
1,tree_15,7070,1.2745256951091133,0.6202382939324584,0.5405940594059406,0.01223568750761886,0.0
1,residual_c10_a10,7070,1.2823775343142758,0.623190755029256,0.5405940594059406,0.023553035725967716,0.0
1,static_a02,7070,1.2742746229881412,0.6201013873652075,0.5408769448373408,0.012109378386198875,1.0
1,static_a05,7070,1.273929021584955,0.6199109841140628,0.5405940594059406,0.014668488699286776,1.0
1,static_a10,7070,1.273435798839655,0.6196336541099526,0.5408769448373408,0.015803558872251593,1.0
1,gated_g05,7070,1.2744862877118666,0.6202166617061725,0.5405940594059406,0.01234754390113914,0.6012729844413013
1,gated_g10,7070,1.2744472191989884,0.6201951912123169,0.5405940594059406,0.012459248690088371,0.6012729844413013
1,gated_g20,7070,1.2743700981691302,0.620152735179496,0.5405940594059406,0.012285849465279898,0.6012729844413013
2,tree_15,7054,1.24039687303039,0.6036967697950161,0.5609583215197051,0.022257610733623995,0.0
2,residual_c10_a10,7054,1.2489770867062302,0.6063903481719487,0.5632265381343918,0.01423376469123196,0.0
2,static_a02,7054,1.2401892094409013,0.6035647175521788,0.5612418485965409,0.021762264681224993,1.0
2,static_a05,7054,1.2399067756492923,0.6033807383821747,0.561100085058123,0.0222542098339736,1.0
2,static_a10,7054,1.2395135738037997,0.6031118248562519,0.5615253756733768,0.022950040074704435,1.0
2,gated_g05,7054,1.2403823664056546,0.6036860999615061,0.5609583215197051,0.022199413323976205,0.6610433796427558
2,gated_g10,7054,1.2403682531557265,0.603675617659011,0.5609583215197051,0.02214117402882475,0.6610433796427558
2,gated_g20,7054,1.2403412059157441,0.6036552152327542,0.5609583215197051,0.022194815294763384,0.6610433796427558
3,tree_15,8141,1.2374481810810083,0.6004908136734775,0.566023829996315,0.03164850954976056,0.0
3,residual_c10_a10,8141,1.2449886805408845,0.6029748040555877,0.5674978503869303,0.017115372748040633,0.0
3,static_a02,8141,1.2372041043146353,0.6003451718296408,0.5656553248986611,0.03212495917224111,1.0
3,static_a05,8141,1.236868192322646,0.6001416857119803,0.5657781599312124,0.031227595036455735,1.0
3,static_a10,8141,1.2363889221354234,0.5998425695708735,0.5656553248986611,0.03205645387133461,1.0
3,gated_g05,8141,1.2374141004163275,0.6004705229357638,0.566023829996315,0.03149341091867311,0.6796462351062523
3,gated_g10,8141,1.2373803694681524,0.6004504023109889,0.566023829996315,0.031436503585820154,0.6796462351062523
3,gated_g20,8141,1.2373139560453905,0.6004106709961472,0.566023829996315,0.03176426014884801,0.6796462351062523
4,tree_15,7896,1.2350832311388702,0.602178700359587,0.5597771023302939,0.021437341190457825,0.0
4,residual_c10_a10,7896,1.2470710116277353,0.6068841572456516,0.5614235055724417,0.012467923493185649,0.0
4,static_a02,7896,1.2349223216438698,0.6020766752283191,0.5600303951367781,0.02233280824096144,1.0
4,static_a05,7896,1.2347113190351127,0.6019384984425844,0.5601570415400202,0.023197336905325133,1.0
4,static_a10,7896,1.2344407292097386,0.6017479653241956,0.5604103343465046,0.02650708880469511,1.0
4,gated_g05,7896,1.2350605894381512,0.602163608392527,0.5597771023302939,0.021640923373050992,0.6426038500506586
4,gated_g10,7896,1.2350383309700306,0.6021487008268043,0.5597771023302939,0.02199600628057469,0.6426038500506586
4,gated_g20,7896,1.2349949629582104,0.6021194382662125,0.5597771023302939,0.021793260845776753,0.6426038500506586
5,tree_15,7849,1.2321526828232097,0.6001914102292772,0.5612179895528093,0.019588234784027502,0.0
5,residual_c10_a10,7849,1.239792144323283,0.6036200564408634,0.5610905847878711,0.02048009076002912,0.0
5,static_a02,7849,1.2318872898855757,0.6000514123519285,0.5613453943177474,0.019802415397255357,1.0
5,static_a05,7849,1.23152092990901,0.5998572599918452,0.5613453943177474,0.021046715907662276,1.0
5,static_a10,7849,1.2309950491463355,0.5995760677962392,0.5616002038476239,0.02131598505833251,1.0
5,gated_g05,7849,1.2321267566270016,0.600176389771989,0.5612179895528093,0.01935079294405562,0.5568862275449101
5,gated_g10,7849,1.232101161382693,0.6001615342586962,0.5612179895528093,0.019367740201900484,0.5568862275449101
5,gated_g20,7849,1.232050963142027,0.6001323179821683,0.5613453943177474,0.019909864006489475,0.5568862275449101
