modelName,dimension,segment,raceCount,logLossDelta,brierDelta,top1Delta,eceDelta
gated_g05,venue,1,1641,1.4114818101207405e-05,9.08715223590928e-06,0.0,0.0006396829858359085
gated_g05,venue,10,1498,-4.9240659703020384e-05,-2.2636347746129992e-05,0.0,0.00010648175897168613
gated_g05,venue,11,1594,-3.377018035655155e-05,-2.0103489047684775e-05,0.0,-0.0005783655585181076
gated_g05,venue,12,1698,-3.331497464720279e-05,-2.056446966003378e-05,0.0,0.001642986607119857
gated_g05,venue,13,1349,-4.690593089184958e-05,-2.8704380746757963e-05,0.0,1.548447057270197e-06
gated_g05,venue,14,1459,-2.4203340146966568e-05,-1.8628216814087217e-05,0.0,9.840995910532363e-05
gated_g05,venue,15,1657,-4.6105497171211596e-06,-9.212846729056423e-06,0.0,-9.012122649205978e-06
gated_g05,venue,16,1353,-5.052686249951144e-05,-3.172486075719849e-05,0.0,0.0008884511095148331
gated_g05,venue,17,1637,-6.152113868873599e-05,-3.352068461104363e-05,0.0,0.0004807219680457997
gated_g05,venue,18,1776,-4.714586426790568e-05,-3.2369768107831653e-05,0.0,-0.0005641506790721243
gated_g05,venue,19,1616,-4.131802406037721e-05,-1.933869642456454e-05,0.0,3.4598392063163452e-06
gated_g05,venue,2,1471,8.087100797027347e-06,7.880309415009279e-06,0.0,0.0017554807275828761
gated_g05,venue,20,1547,-6.0652250298609545e-05,-2.7525188440735704e-05,0.0,-1.550688653458726e-05
gated_g05,venue,21,1681,-4.624262108365862e-05,-2.458775654246015e-05,0.0,-4.264536264863075e-05
gated_g05,venue,22,1658,9.294469196508004e-07,-5.501535074170505e-07,0.0,-0.0006083828121511356
gated_g05,venue,23,1418,-3.712142865608392e-05,-2.5320189795396963e-05,0.0,6.124734355392181e-06
gated_g05,venue,24,1694,-1.422480631041445e-05,-1.3012622149477515e-05,0.0,7.136761929392443e-06
gated_g05,venue,3,1481,-1.5849276051582706e-05,-6.912741320919125e-06,0.0,-0.0004685481161958646
gated_g05,venue,4,1252,-2.0436161815018394e-05,-3.5969998575247075e-06,0.0,0.0016709703810660614
gated_g05,venue,5,1684,-9.494611632687722e-06,-1.0340668757269356e-05,0.0,-7.435332461194419e-05
gated_g05,venue,6,1806,-1.4920458943024073e-05,-1.2959956496305658e-05,0.0,-7.11934048445717e-05
gated_g05,venue,7,1680,-6.233180567916108e-06,-1.0360734469472277e-05,0.0,-0.0004786654666445872
gated_g05,venue,8,1766,-2.2102500241150125e-05,-1.7894004136875807e-05,0.0,0.000946946483844989
gated_g05,venue,9,1594,-4.8622151087140963e-05,-2.5746971807349972e-05,0.0,-3.572564270048345e-05
gated_g05,month,2025-08,275,-8.349109369820695e-05,-5.137559254109192e-05,0.0,-1.562875800359409e-06
gated_g05,month,2025-09,3625,-2.6497507356948446e-05,-1.3925677942672188e-05,0.0,-0.00027959725308282155
gated_g05,month,2025-10,3538,-4.4779625468560624e-05,-2.4122772709911366e-05,0.0,-0.0001647065965339478
gated_g05,month,2025-11,3340,-1.962602709637551e-05,-1.4420034272100146e-05,0.0,-6.440556318174778e-05
gated_g05,month,2025-12,4008,-7.815367855767974e-06,-7.367100296473694e-06,0.0,2.797044065187826e-06
gated_g05,month,2026-01,4356,-3.1283766577461236e-05,-1.7221924696997348e-05,0.0,-0.0002386260377993804
gated_g05,month,2026-02,3545,-4.432822846900386e-05,-2.7435549020626837e-05,0.0,-5.9338468089569635e-05
gated_g05,month,2026-03,3811,-6.950437264396925e-06,-5.907553415340772e-06,0.0,0.00046214533977140954
gated_g05,month,2026-04,1824,-4.101709236126183e-05,-2.4814725843480545e-05,0.0,0.0007066582939644281
gated_g05,month,2026-05,3677,-3.440971669577131e-05,-2.1423885577243063e-05,0.0,0.00028682032536972435
gated_g05,month,2026-06,3827,-3.1344112266795676e-05,-1.8469527863662627e-05,0.0,1.8021067979365202e-05
gated_g05,month,2026-07,2184,-1.1514721998118205e-05,-6.0879156809079404e-06,0.0,-0.00045258584143763325
gated_g05,topPickLane,1,37164,-2.7307363193784795e-05,-1.652221576875501e-05,0.0,1.606311976461508e-05
gated_g05,topPickLane,2,394,-3.097492052872575e-05,-1.951418815582251e-05,0.0,-3.885517961939311e-05
gated_g05,topPickLane,3,293,-2.2466573684321034e-05,-1.373424460604511e-05,0.0,-1.1829631926960071e-05
gated_g05,topPickLane,4,149,-5.631897811508857e-05,-3.551834232951023e-05,0.0,6.534217649595275e-07
gated_g05,featureCoverage,3.0,37953,-2.7497628632522364e-05,-1.6565336493301608e-05,0.0,1.609859141862846e-05
gated_g10,venue,1,1641,2.875237144883691e-05,1.8407843963230697e-05,0.0,0.0006699838730482854
gated_g10,venue,10,1498,-9.801991391134024e-05,-4.5050940076230006e-05,0.0,-0.0003212144832793126
gated_g10,venue,11,1594,-6.721420567834535e-05,-4.004470367291457e-05,0.0,-0.0006550578187802629
gated_g10,venue,12,1698,-6.63778712857166e-05,-4.1006564734158424e-05,0.0,0.0016369989297620804
gated_g10,venue,13,1349,-9.354300718733555e-05,-5.728138969929297e-05,0.0,3.1483922404984543e-06
gated_g10,venue,14,1459,-4.769673966631416e-05,-3.6869889666557576e-05,0.0,0.0012911628600744685
gated_g10,venue,15,1657,-8.98429094209341e-06,-1.8322213569121892e-05,0.0,-0.0006216700534190239
gated_g10,venue,16,1353,-0.00010072592397469826,-6.329576477015486e-05,0.0,0.0008896346176950412
gated_g10,venue,17,1637,-0.00012265906431463414,-6.68644439321131e-05,0.0,-0.0002603699138839441
gated_g10,venue,18,1776,-9.40439253931391e-05,-6.461045938521703e-05,0.0,0.00011101791702220615
gated_g10,venue,19,1616,-8.237787410170228e-05,-3.8546201205913455e-05,0.0,6.965770879902716e-06
gated_g10,venue,2,1471,1.7035333985004897e-05,1.6256003060988178e-05,0.0,0.0018237405613350174
gated_g10,venue,20,1547,-0.00012101842149903064,-5.4919988546897613e-05,0.0,-0.000677955495800589
gated_g10,venue,21,1681,-9.215409248586326e-05,-4.900708680855015e-05,0.0,0.0003905751016302396
gated_g10,venue,22,1658,2.028636015172225e-06,-1.0327297446099948e-06,0.0,-0.0006136568576090157
gated_g10,venue,23,1418,-7.389055429052327e-05,-5.046531542951538e-05,0.0,-0.0006934607427784532
gated_g10,venue,24,1694,-2.8247903714362366e-05,-2.5917381937134998e-05,0.0,0.0006035170469435094
gated_g10,venue,3,1481,-3.1366744418948045e-05,-1.3652344982073572e-05,0.0,-0.00039683222435022217
gated_g10,venue,4,1252,-4.02411337749875e-05,-6.866977668495977e-06,0.0,0.0025411977657751467
gated_g10,venue,5,1684,-1.8679357117079576e-05,-2.0554818656148832e-05,0.0,-0.0001486450479342115
gated_g10,venue,6,1806,-2.9468594979098484e-05,-2.5754599116467602e-05,0.0,-0.0005855707893902204
gated_g10,venue,7,1680,-1.2208363181498427e-05,-2.0620505712054538e-05,0.0,-0.0006870551985046248
gated_g10,venue,8,1766,-4.3838616907487804e-05,-3.564397739974634e-05,0.0,0.0009872232191788025
gated_g10,venue,9,1594,-9.69428414010487e-05,-5.1358716831817475e-05,0.0,-7.140497357593922e-05
gated_g10,month,2025-08,275,-0.00016662208918827304,-0.00010256128501784367,0.0,-3.1070348980449802e-06
gated_g10,month,2025-09,3625,-5.263461449911411e-05,-2.7679221513476904e-05,0.0,-0.0005591034764187812
gated_g10,month,2025-10,3538,-8.923837081153962e-05,-4.80933572840625e-05,0.0,0.0006248041724219635
gated_g10,month,2025-11,3340,-3.882827261203481e-05,-2.8637279243626246e-05,0.0,-0.00012875313354370616
gated_g10,month,2025-12,4008,-1.5290504362441837e-05,-1.4574776888265362e-05,0.0,0.0004048058040175134
gated_g10,month,2026-01,4356,-6.222815618484034e-05,-3.428074426348182e-05,0.0,-0.0002936356741544306
gated_g10,month,2026-02,3545,-8.827132458244513e-05,-5.467856705854146e-05,0.0,-0.00011880764554393283
gated_g10,month,2026-03,3811,-1.3515618094928072e-05,-1.1632373110970207e-05,0.0,0.0007145305217197417
gated_g10,month,2026-04,1824,-8.163105038860863e-05,-4.943614703600829e-05,0.0,0.0022893659946351327
gated_g10,month,2026-05,3677,-6.844708136299893e-05,-4.2659630405172955e-05,0.0,0.0005728018929598913
gated_g10,month,2026-06,3827,-6.237119619245668e-05,-3.678076691737697e-05,0.0,0.0002968676564788081
gated_g10,month,2026-07,2184,-2.2712556784210136e-05,-1.2024108293928748e-05,0.0,-0.0004474445134877124
gated_g10,topPickLane,1,37164,-5.425298765571185e-05,-3.286937641433507e-05,0.0,3.154272861425472e-05
gated_g10,topPickLane,2,394,-6.167833815662327e-05,-3.889670070222895e-05,0.0,-7.766642246864741e-05
gated_g10,topPickLane,3,293,-4.473148452555087e-05,-2.736930435509599e-05,0.0,-2.3634516528397986e-05
gated_g10,topPickLane,4,149,-0.00011244179071634441,-7.093837990901353e-05,0.0,1.2974306971419436e-06
gated_g10,featureCoverage,3.0,37953,-5.4637911023558416e-05,-3.2957815514378375e-05,0.0,3.162494082318418e-05
gated_g20,venue,1,1641,5.959390232535e-05,3.774805079148624e-05,0.0,0.001338496393641156
gated_g20,venue,10,1498,-0.0001941953074569014,-8.921577724774199e-05,0.0,0.0004240054396076158
gated_g20,venue,11,1594,-0.00013312450357672034,-7.944087481526196e-05,0.0,-0.0013109995621041239
gated_g20,venue,12,1698,-0.000131747790397041,-8.152362306945715e-05,0.0,-0.0004959790803974254
gated_g20,venue,13,1349,-0.00018601077265834043,-0.00011405310707923721,0.0,-0.0008833250595150083
gated_g20,venue,14,1459,-9.255464190460749e-05,-7.219363222099595e-05,0.0,0.00010855824040964523
gated_g20,venue,15,1657,-1.702206092146774e-05,-3.623120954787673e-05,0.0,-0.0012436397343147665
gated_g20,venue,16,1353,-0.00020014154575442866,-0.00012597619203069677,0.0,-0.0028008254344006993
gated_g20,venue,17,1637,-0.00024378627971910483,-0.00013302125267822262,0.0,-0.0002764894907857085
gated_g20,venue,18,1776,-0.00018709634869673586,-0.0001287035697657979,0.0,0.0006727668620190308
gated_g20,venue,19,1616,-0.0001637233558782203,-7.656790565235827e-05,0.0,-0.0009755978725791807
gated_g20,venue,2,1471,3.751386933781298e-05,3.449275109679295e-05,0.0,0.002108775295490131
gated_g20,venue,20,1547,-0.0002408933696336213,-0.00010931883351350535,0.0,-6.494497874858646e-05
gated_g20,venue,21,1681,-0.0001829842768179546,-9.734081217172008e-05,0.0,0.0003050469445480715
gated_g20,venue,22,1658,4.736246693948232e-06,-1.7953386963753815e-06,0.0,0.001183658288893899
gated_g20,venue,23,1418,-0.00014637262833838705,-0.00010023082355026247,0.0,-0.0013895279834438383
gated_g20,venue,24,1694,-5.568897952024088e-05,-5.14032893219607e-05,0.0,2.308136032134339e-05
gated_g20,venue,3,1481,-6.140663319476047e-05,-2.6612376439305585e-05,0.0,-0.0010629501559422487
gated_g20,venue,4,1252,-7.795887276618174e-05,-1.2426169932577835e-05,0.0,0.0034821006444122685
gated_g20,venue,5,1684,-3.6120126225336335e-05,-4.060404190453504e-05,0.0,-0.0002970431285836961
gated_g20,venue,6,1806,-5.74490079832124e-05,-5.084879069072734e-05,0.0005537098560354226,-0.001725375197550387
gated_g20,venue,7,1680,-2.338539116664151e-05,-4.0837530198567507e-05,0.0,0.001182699489677596
gated_g20,venue,8,1766,-8.62127682874636e-05,-7.071252518164872e-05,0.0,0.0010675354492230213
gated_g20,venue,9,1594,-0.00019268046755360757,-0.00010217642906817925,0.0,-0.00014262423701806581
gated_g20,month,2025-08,275,-0.00033180499335538904,-0.00020436344745788926,0.0,-0.0065522020301201495
gated_g20,month,2025-09,3625,-0.00010382834300326493,-5.467019775839965e-05,0.0,-0.0008978603683228153
gated_g20,month,2025-10,3538,-0.00017719381782899113,-9.557823137940069e-05,0.0,0.0009585336381003375
gated_g20,month,2025-11,3340,-7.596229673101362e-05,-5.646380957913255e-05,0.0,0.00010164660984357532
gated_g20,month,2025-12,4008,-2.9220851702316253e-05,-2.8512240298761427e-05,0.0,0.001406608647323851
gated_g20,month,2026-01,4356,-0.00012309953193190282,-6.790961331037959e-05,0.0,-0.0004039038547602111
gated_g20,month,2026-02,3545,-0.00017500277039128598,-0.00010858725477158604,0.0,0.0004383398263820594
gated_g20,month,2026-03,3811,-2.5491020529955222e-05,-2.2534659403383728e-05,0.0,-0.0005658104064449748
gated_g20,month,2026-04,1824,-0.0001616503650534451,-9.80993046207912e-05,0.0,0.002383275869207984
gated_g20,month,2026-05,3677,-0.00013540543951950923,-8.456713652393866e-05,0.0,0.0016870067944606063
gated_g20,month,2026-06,3827,-0.000123474883484187,-7.292843960449158e-05,0.0,0.0008518885301989215
gated_g20,month,2026-07,2184,-4.4158124211657324e-05,-2.344122996655873e-05,0.00045787545787545625,0.0003868904631039796
gated_g20,topPickLane,1,37163,-0.00010687384540486455,-6.493928657225201e-05,0.0,0.0004911760844025503
