fold,marginBand,entropyBand,feature_availability,top1_agreement,races,residualOnlyCorrect,treeOnlyCorrect,residualLogLossImprovementRate,meanResidualLogLossDelta
2,"(0.376, 0.506]","(0.723, 0.802]",1.0,0.0,1,0,0,1.0,-0.48722781799156234
2,"(0.376, 0.506]","(0.723, 0.802]",1.0,1.0,509,0,0,0.581532416502947,0.0016873771565856955
2,"(0.376, 0.506]","(0.802, 0.986]",1.0,1.0,9,0,0,0.3333333333333333,0.1197922522974652
2,"(0.506, 0.813]","(0.305, 0.642]",1.0,1.0,1445,0,0,0.4228373702422145,0.008949390046220142
2,"(0.506, 0.813]","(0.642, 0.723]",1.0,1.0,298,0,0,0.4798657718120805,0.020483788731728177
2,"(0.506, 0.813]","(0.723, 0.802]",1.0,1.0,1,0,0,0.0,0.21800523521107973
3,"(-0.0009509, 0.244]","(0.305, 0.642]",1.0,1.0,2,0,0,0.5,-0.013860615621823114
3,"(-0.0009509, 0.244]","(0.642, 0.723]",1.0,0.0,2,1,1,0.5,0.08325350637270945
3,"(-0.0009509, 0.244]","(0.642, 0.723]",1.0,1.0,68,0,0,0.4264705882352941,0.02670645873134184
3,"(-0.0009509, 0.244]","(0.723, 0.802]",1.0,0.0,41,18,14,0.5853658536585366,-0.027566570368095827
3,"(-0.0009509, 0.244]","(0.723, 0.802]",1.0,1.0,460,0,0,0.5021739130434782,0.015619711488252768
3,"(-0.0009509, 0.244]","(0.802, 0.986]",1.0,0.0,119,39,32,0.46218487394957986,0.0002896504944277782
3,"(-0.0009509, 0.244]","(0.802, 0.986]",1.0,1.0,1394,0,0,0.5064562410329986,0.008618955427272285
3,"(0.244, 0.376]","(0.305, 0.642]",1.0,1.0,30,0,0,0.6333333333333333,0.03922954416553303
3,"(0.244, 0.376]","(0.642, 0.723]",1.0,1.0,426,0,0,0.5586854460093896,0.009304164135438438
3,"(0.244, 0.376]","(0.723, 0.802]",1.0,0.0,2,1,1,0.5,0.027059253748880296
3,"(0.244, 0.376]","(0.723, 0.802]",1.0,1.0,964,0,0,0.5684647302904564,0.004243883026549032
3,"(0.244, 0.376]","(0.802, 0.986]",1.0,1.0,579,0,0,0.5785837651122625,-0.003281384411567427
3,"(0.376, 0.506]","(0.305, 0.642]",1.0,1.0,292,0,0,0.5684931506849316,0.021286002934742157
3,"(0.376, 0.506]","(0.642, 0.723]",1.0,1.0,1264,0,0,0.5632911392405063,-0.004201817122054577
3,"(0.376, 0.506]","(0.723, 0.802]",1.0,0.0,1,1,0,1.0,-0.5722667894525209
3,"(0.376, 0.506]","(0.723, 0.802]",1.0,1.0,548,0,0,0.5620437956204379,-0.0066888246873920325
3,"(0.376, 0.506]","(0.802, 0.986]",1.0,1.0,18,0,0,0.4444444444444444,0.022770634767742635
