modelName,iterations,dateBlockCount,seed,logLossDelta,logLossCi95Lower,logLossCi95Upper,brierDelta,brierCi95Lower,brierCi95Upper,top1Delta,top1Ci95Lower,top1Ci95Upper
ranking_leaf15,1000,300,42,0.30773833568270753,0.30092870826406953,0.31391822193227636,0.13237178545236164,0.12874760427638912,0.13566792157877328,-0.004916541236711506,-0.006058475653077572,-0.003762550526129424
ranking_leaf31,1000,300,42,0.30250696943717653,0.29578545321787547,0.3085314505779565,0.13014488088658255,0.12657152705910707,0.1334118187959632,-0.004916541236711506,-0.006058475653077572,-0.003762550526129424
residual_c01_a05,1000,300,42,0.041923900652626994,0.03910638468750187,0.044703892764663564,0.015348463877334627,0.01416742066803308,0.01661005872823286,-0.004916541236711506,-0.006058475653077572,-0.003762550526129424
residual_c10_a10,1000,300,42,0.008351147403696985,0.006301369846973862,0.010415700415702195,0.0031050181833175545,0.0020258613137195437,0.004204536729334147,0.0011307991091342533,0.00011203152255059826,0.0021437922037685062
tree15_temp085,1000,300,42,0.0033256895071666136,0.001829627200346852,0.004883564386345687,0.0021977113446808886,0.0014598783755651306,0.003004217219777319,0.0,0.0,0.0
tree15_temp115,1000,300,42,0.01283612646327843,0.011665070502305636,0.013960235090664816,0.005641921665279416,0.005001277992274785,0.006240448194873411,0.0,0.0,0.0
