modelName,dimension,segment,raceCount,logLossDelta,brierDelta,top1Delta,eceDelta
ranking_leaf15,venue,1,1641,0.2680285090450265,0.11546444834436587,-0.008531383302864182,0.20805689160319094
ranking_leaf15,venue,10,1498,0.2513493846807715,0.10022646612342323,0.002670226969292422,0.21537631040076355
ranking_leaf15,venue,11,1594,0.29177379059266295,0.12035271962407745,-0.005018820577164296,0.24718886460883385
ranking_leaf15,venue,12,1698,0.3209793785762103,0.1389035075785865,-0.0011778563015312216,0.27810684777247846
ranking_leaf15,venue,13,1349,0.3740030616516845,0.17097334050169177,-0.001482579688658281,0.30892898040928796
ranking_leaf15,venue,14,1459,0.23142161104163472,0.08662755777101816,-0.00959561343385884,0.17605919258547545
ranking_leaf15,venue,15,1657,0.3054150338513415,0.1339505932477928,-0.0018105009052504784,0.2375409955998987
ranking_leaf15,venue,16,1353,0.28039105716393764,0.12541067018172847,0.0,0.2648545639772722
ranking_leaf15,venue,17,1637,0.28240919098766226,0.12323446070358024,-0.0036652412950518576,0.27036189809056377
ranking_leaf15,venue,18,1776,0.3610725230312475,0.15687928706619603,-0.0028153153153153143,0.3135007034093454
ranking_leaf15,venue,19,1616,0.3616822597340259,0.16249727658171187,-0.0006188118811880639,0.32231688267782344
ranking_leaf15,venue,2,1471,0.21778055954557063,0.08069229607559603,-0.02311352821210061,0.16401341043760218
ranking_leaf15,venue,20,1547,0.34773374481698816,0.15441442326507393,-0.0019392372333548735,0.29061414458302537
ranking_leaf15,venue,21,1681,0.32665884946534485,0.1487796537247762,-0.0017846519928613747,0.29827982697846733
ranking_leaf15,venue,22,1658,0.36405234165840805,0.15078653851450385,-0.004825090470446214,0.2523130772852736
ranking_leaf15,venue,23,1418,0.3173259563365891,0.13210889453954966,-0.004231311706629048,0.2523481045172069
ranking_leaf15,venue,24,1694,0.4110938176943888,0.19305281322436252,-0.00649350649350644,0.31797908673562275
ranking_leaf15,venue,3,1481,0.24762916218149833,0.09026507283395879,-0.004726536124240344,0.19253139919832232
