fold,modelName,raceCount,raceLogLoss,multiclassBrier,top1Accuracy,ece10,experimentId,datasetHash,configHash,seed
3,lane1_always,8141,12.130361069690636,0.8780248126713072,0.5609875936617124,0.4390124063332873,bb240812bd79b7f6,bc2294f85e482ac1c1e7458236be509afd5d3adc9aa7afd4ec53fc4658e54f23,9eaa84789add75d3e0107fe2a4b7622c6baa8c52f60f115330d5486df1d28e8b,42
3,lane_frequency,8141,1.3509170994973814,0.6405670728982622,0.5609875936617124,0.01299625915352387,2b643c906a01919d,bc2294f85e482ac1c1e7458236be509afd5d3adc9aa7afd4ec53fc4658e54f23,9eaa84789add75d3e0107fe2a4b7622c6baa8c52f60f115330d5486df1d28e8b,42
3,tree_15,8141,1.2374481810810083,0.6004908136734775,0.566023829996315,0.03164850954976056,b30504902dfa86ea,bc2294f85e482ac1c1e7458236be509afd5d3adc9aa7afd4ec53fc4658e54f23,9eaa84789add75d3e0107fe2a4b7622c6baa8c52f60f115330d5486df1d28e8b,42
3,ranking_leaf15,8141,1.549590812805488,0.736882960495991,0.5609875936617124,0.29426075268865787,7cebb3b0a765b803,bc2294f85e482ac1c1e7458236be509afd5d3adc9aa7afd4ec53fc4658e54f23,9eaa84789add75d3e0107fe2a4b7622c6baa8c52f60f115330d5486df1d28e8b,42
3,ranking_leaf31,8141,1.5446043554297593,0.7347497815007278,0.5609875936617124,0.2942548545953942,3c8221b012bdc1a5,bc2294f85e482ac1c1e7458236be509afd5d3adc9aa7afd4ec53fc4658e54f23,9eaa84789add75d3e0107fe2a4b7622c6baa8c52f60f115330d5486df1d28e8b,42
3,residual_c01_a05,8141,1.279551321321459,0.6150887900248235,0.5609875936617124,0.05322327310306921,3d01e08340f72fa8,bc2294f85e482ac1c1e7458236be509afd5d3adc9aa7afd4ec53fc4658e54f23,9eaa84789add75d3e0107fe2a4b7622c6baa8c52f60f115330d5486df1d28e8b,42
3,residual_c10_a10,8141,1.2449886805408845,0.6029748040555877,0.5674978503869303,0.017115372748040633,72a1d0e46ea2d86b,bc2294f85e482ac1c1e7458236be509afd5d3adc9aa7afd4ec53fc4658e54f23,9eaa84789add75d3e0107fe2a4b7622c6baa8c52f60f115330d5486df1d28e8b,42
3,tree15_temp085,8141,1.2384128809715367,0.6009482079935812,0.566023829996315,0.03889143281830282,c45ee97eaf675333,bc2294f85e482ac1c1e7458236be509afd5d3adc9aa7afd4ec53fc4658e54f23,9eaa84789add75d3e0107fe2a4b7622c6baa8c52f60f115330d5486df1d28e8b,42
3,tree15_temp115,8141,1.2519222613906669,0.6073965679556358,0.566023829996315,0.07382745912610224,bac3f3a50002d6b8,bc2294f85e482ac1c1e7458236be509afd5d3adc9aa7afd4ec53fc4658e54f23,9eaa84789add75d3e0107fe2a4b7622c6baa8c52f60f115330d5486df1d28e8b,42
4,lane1_always,7896,12.324779175572726,0.8920972644323374,0.5539513677811551,0.4460486322138446,18c7617928ab78a4,bc2294f85e482ac1c1e7458236be509afd5d3adc9aa7afd4ec53fc4658e54f23,9eaa84789add75d3e0107fe2a4b7622c6baa8c52f60f115330d5486df1d28e8b,42
4,lane_frequency,7896,1.3524107326696055,0.6449655295699716,0.5539513677811551,0.0048718655699032665,ee5a1a761ffab734,bc2294f85e482ac1c1e7458236be509afd5d3adc9aa7afd4ec53fc4658e54f23,9eaa84789add75d3e0107fe2a4b7622c6baa8c52f60f115330d5486df1d28e8b,42
4,tree_15,7896,1.2350832311388702,0.602178700359587,0.5597771023302939,0.021437341190457825,553abc35c33d8931,bc2294f85e482ac1c1e7458236be509afd5d3adc9aa7afd4ec53fc4658e54f23,9eaa84789add75d3e0107fe2a4b7622c6baa8c52f60f115330d5486df1d28e8b,42
4,ranking_leaf15,7896,1.5514052372502607,0.7376338402595803,0.5539513677811551,0.28691333457527973,57f91e51f9844919,bc2294f85e482ac1c1e7458236be509afd5d3adc9aa7afd4ec53fc4658e54f23,9eaa84789add75d3e0107fe2a4b7622c6baa8c52f60f115330d5486df1d28e8b,42
4,ranking_leaf31,7896,1.546005226465857,0.7353165069245057,0.5539513677811551,0.2867137933289501,10740f59d3037d1f,bc2294f85e482ac1c1e7458236be509afd5d3adc9aa7afd4ec53fc4658e54f23,9eaa84789add75d3e0107fe2a4b7622c6baa8c52f60f115330d5486df1d28e8b,42
4,residual_c01_a05,7896,1.2816036772173116,0.6195231641600687,0.5539513677811551,0.0431112910340859,6707fd31056cf36e,bc2294f85e482ac1c1e7458236be509afd5d3adc9aa7afd4ec53fc4658e54f23,9eaa84789add75d3e0107fe2a4b7622c6baa8c52f60f115330d5486df1d28e8b,42
4,residual_c10_a10,7896,1.2470710116277353,0.6068841572456516,0.5614235055724417,0.012467923493185649,7f62d757a686bfef,bc2294f85e482ac1c1e7458236be509afd5d3adc9aa7afd4ec53fc4658e54f23,9eaa84789add75d3e0107fe2a4b7622c6baa8c52f60f115330d5486df1d28e8b,42
4,tree15_temp085,7896,1.238733285845876,0.605201591432258,0.5597771023302939,0.0557843778109683,fece50ac3e7f60cf,bc2294f85e482ac1c1e7458236be509afd5d3adc9aa7afd4ec53fc4658e54f23,9eaa84789add75d3e0107fe2a4b7622c6baa8c52f60f115330d5486df1d28e8b,42
4,tree15_temp115,7896,1.2480031037874195,0.6074590869404788,0.5597771023302939,0.05731490042738185,9e84bc25128dfe4e,bc2294f85e482ac1c1e7458236be509afd5d3adc9aa7afd4ec53fc4658e54f23,9eaa84789add75d3e0107fe2a4b7622c6baa8c52f60f115330d5486df1d28e8b,42
5,lane1_always,7849,12.310572154723392,0.8910689259724852,0.5544655370110843,0.4455344629839153,04c344a87e7615a5,bc2294f85e482ac1c1e7458236be509afd5d3adc9aa7afd4ec53fc4658e54f23,9eaa84789add75d3e0107fe2a4b7622c6baa8c52f60f115330d5486df1d28e8b,42
5,lane_frequency,7849,1.3523174107320475,0.6444626815227147,0.5544655370110843,0.0050201096191928585,d4b9150e0e1a9f23,bc2294f85e482ac1c1e7458236be509afd5d3adc9aa7afd4ec53fc4658e54f23,9eaa84789add75d3e0107fe2a4b7622c6baa8c52f60f115330d5486df1d28e8b,42
5,tree_15,7849,1.2321526828232097,0.6001914102292772,0.5612179895528093,0.019588234784027502,4231db6b0485c763,bc2294f85e482ac1c1e7458236be509afd5d3adc9aa7afd4ec53fc4658e54f23,9eaa84789add75d3e0107fe2a4b7622c6baa8c52f60f115330d5486df1d28e8b,42
5,ranking_leaf15,7849,1.5483391152832096,0.7363037146462401,0.5544655370110843,0.2864009113742557,7f14d32dbd8173b7,bc2294f85e482ac1c1e7458236be509afd5d3adc9aa7afd4ec53fc4658e54f23,9eaa84789add75d3e0107fe2a4b7622c6baa8c52f60f115330d5486df1d28e8b,42
5,ranking_leaf31,7849,1.5425317971217354,0.7338542588353347,0.5544655370110843,0.28638627039639014,cdb913ba3ebe996d,bc2294f85e482ac1c1e7458236be509afd5d3adc9aa7afd4ec53fc4658e54f23,9eaa84789add75d3e0107fe2a4b7622c6baa8c52f60f115330d5486df1d28e8b,42
5,residual_c01_a05,7849,1.2764313100156681,0.6171098690166043,0.5544655370110843,0.04439636014329906,ed147fafe3bafa79,bc2294f85e482ac1c1e7458236be509afd5d3adc9aa7afd4ec53fc4658e54f23,9eaa84789add75d3e0107fe2a4b7622c6baa8c52f60f115330d5486df1d28e8b,42
5,residual_c10_a10,7849,1.239792144323283,0.6036200564408634,0.5610905847878711,0.02048009076002912,275be967dd16dcbb,bc2294f85e482ac1c1e7458236be509afd5d3adc9aa7afd4ec53fc4658e54f23,9eaa84789add75d3e0107fe2a4b7622c6baa8c52f60f115330d5486df1d28e8b,42
5,tree15_temp085,7849,1.2353261932001374,0.6022968459638065,0.5612179895528093,0.05044791131816981,ee68cb02e70fb912,bc2294f85e482ac1c1e7458236be509afd5d3adc9aa7afd4ec53fc4658e54f23,9eaa84789add75d3e0107fe2a4b7622c6baa8c52f60f115330d5486df1d28e8b,42
5,tree15_temp115,7849,1.2451951337618496,0.6059235019597644,0.5612179895528093,0.060334362028875176,1e57f7bc60e3c5d9,bc2294f85e482ac1c1e7458236be509afd5d3adc9aa7afd4ec53fc4658e54f23,9eaa84789add75d3e0107fe2a4b7622c6baa8c52f60f115330d5486df1d28e8b,42
